TIME(hr:min:sec),INPUT_I(A),CHARGING_I(A),BUCK_I(A),Cell1(V),Cell2(V),V_+(V),TEMPERATURE(deg C)
01:22:24,0.144,0.155,0.186,4.233,8.440,12.639,32.756
01:22:25,0.144,0.155,0.309,4.236,8.436,12.652,32.654
01:22:26,0.144,0.159,0.179,4.238,8.449,12.646,32.667
01:22:27,0.144,0.154,0.185,4.226,8.440,12.632,32.586
01:22:28,0.144,0.156,0.191,4.233,8.440,12.632,32.559
01:22:29,0.143,0.158,0.185,4.228,8.261,12.646,32.579
01:22:30,0.143,0.159,0.182,4.238,8.431,12.639,32.674
01:22:31,0.145,0.157,0.178,4.235,8.449,12.646,32.667
01:22:32,0.144,0.156,0.176,4.236,8.440,12.652,32.613
01:22:33,0.135,0.155,0.170,4.235,8.440,12.639,32.613
01:22:34,0.142,0.154,0.191,4.233,8.431,12.805,32.667
01:22:35,0.142,0.159,0.143,4.233,8.449,12.646,32.654
01:22:36,0.143,0.158,0.178,4.232,8.440,12.639,32.579
01:22:37,0.143,0.149,0.193,4.237,8.436,12.632,32.769
01:22:38,0.143,0.155,0.189,4.233,8.449,12.639,32.695
01:22:39,0.143,0.159,0.181,4.238,8.445,12.625,32.586
01:22:40,0.143,0.155,0.196,4.233,8.449,12.652,32.606
01:22:41,0.143,0.156,0.176,4.237,8.436,12.652,32.640
01:22:42,0.144,0.154,0.311,4.236,8.449,12.632,32.531
01:22:43,0.144,0.154,0.172,4.235,8.449,12.646,33.089
01:22:44,0.142,0.156,0.176,4.235,8.449,12.659,32.661
01:22:45,0.142,0.156,0.171,4.235,8.449,12.639,32.749
01:22:46,0.143,0.155,0.176,4.237,8.445,12.652,32.599
01:22:47,0.143,0.156,0.173,4.230,8.440,12.632,32.586
01:22:48,0.142,0.152,0.191,4.230,8.440,12.708,32.538
01:22:49,0.142,0.153,0.185,4.224,8.449,12.646,32.579
01:22:50,0.142,0.155,0.176,4.239,8.445,12.646,32.579
01:22:51,0.142,0.156,0.175,4.238,8.449,12.646,32.565
01:22:52,0.141,0.153,0.184,4.243,8.427,12.625,32.552
01:22:53,0.142,0.155,0.178,4.235,8.449,12.666,32.627
01:22:54,0.142,0.153,0.171,4.235,8.440,12.632,33.116
01:22:55,0.142,0.133,0.189,4.233,8.440,12.646,32.729
01:22:56,0.141,0.156,0.177,4.235,8.449,12.652,32.606
01:22:57,0.142,0.153,0.232,4.235,8.449,12.652,32.674
01:22:58,0.142,0.156,0.180,4.238,8.449,12.618,32.681
01:22:59,0.142,0.152,0.188,4.232,8.436,12.625,32.681
01:23:00,0.142,0.153,0.175,4.236,8.449,12.652,32.674
01:23:01,0.141,0.153,0.173,4.233,8.449,12.646,32.593
01:23:02,0.141,0.156,0.180,4.238,8.449,12.639,32.559
01:23:03,0.141,0.153,0.179,4.235,8.449,12.646,32.667
01:23:04,0.139,0.152,0.187,4.232,8.431,12.632,33.130
01:23:05,0.139,0.153,0.184,4.230,8.440,12.639,32.647
01:23:06,0.141,0.158,0.190,4.254,8.440,12.639,32.654
01:23:07,0.141,0.151,0.190,4.232,8.440,12.639,32.722
01:23:08,0.140,0.153,0.191,4.236,8.436,12.632,32.715
01:23:09,0.140,0.152,0.185,4.233,8.449,12.639,32.654
01:23:10,0.141,0.153,0.199,4.235,8.449,12.646,32.722
01:23:11,0.140,0.150,0.176,4.237,8.440,12.646,32.606
01:23:12,0.140,0.152,0.188,4.233,8.440,12.646,32.463
01:23:13,0.141,0.153,0.172,4.235,8.449,12.646,32.783
01:23:14,0.140,0.153,0.175,4.235,8.449,12.646,32.729
